web-scraper-order,web-scraper-start-url,newpage,team,matchup,date,winloss,min,pts,fgm,fga,fgpercent,3pm,3pa,3ppercent,ftm,fta,ftpercent,oreb,dreb,reb,ast,stl,blk,tov,pfidk,plusminus
"1710880555-97","https://www.nba.com/stats/teams/boxscores","","SAS","SAS vs. HOU","03/12/2024","L","240","101","39","82","47.6","11","36","30.6","12","14","85.7","10","32","42","30","9","5","15","20","-2"
"1710880555-98","https://www.nba.com/stats/teams/boxscores","","HOU","HOU @ SAS","03/12/2024","W","240","103","37","80","46.3","10","32","31.3","19","21","90.5","8","28","36","21","10","5","13","19","2"
"1710880555-99","https://www.nba.com/stats/teams/boxscores","","WAS","WAS @ MEM","03/12/2024","L","240","97","37","82","45.1","11","36","30.6","12","16","75.0","4","24","28","26","9","3","13","18","-12"
"1710880555-100","https://www.nba.com/stats/teams/boxscores","","MEM","MEM vs. WAS","03/12/2024","W","240","109","42","94","44.7","8","33","24.2","17","21","81.0","17","36","53","27","8","7","18","19","12"
"1710880555-101","https://www.nba.com/stats/teams/boxscores","","OKC","OKC vs. IND","03/12/2024","L","240","111","43","99","43.4","14","37","37.8","11","15","73.3","13","37","50","24","5","4","13","16","-10"
"1710880555-102","https://www.nba.com/stats/teams/boxscores","","IND","IND @ OKC","03/12/2024","W","240","121","48","89","53.9","9","28","32.1","16","19","84.2","4","39","43","34","8","10","9","11","10"
"1710880555-103","https://www.nba.com/stats/teams/boxscores","","PHI","PHI @ NYK","03/12/2024","L","240","79","30","80","37.5","8","33","24.2","11","16","68.8","7","24","31","17","7","4","8","16","-27"
"1710880555-104","https://www.nba.com/stats/teams/boxscores","","NYK","NYK vs. PHI","03/12/2024","W","240","106","40","79","50.6","14","40","35.0","12","15","80.0","9","42","51","32","4","4","13","15","27"
"1710880555-105","https://www.nba.com/stats/teams/boxscores","","CHA","CHA @ DET","03/11/2024","L","240","97","34","88","38.6","13","40","32.5","16","23","69.6","9","31","40","27","7","2","13","16","-17"
"1710880555-106","https://www.nba.com/stats/teams/boxscores","","DET","DET vs. CHA","03/11/2024","W","240","114","41","86","47.7","10","42","23.8","22","24","91.7","9","42","51","26","8","5","12","19","17"
"1710880555-107","https://www.nba.com/stats/teams/boxscores","","PHX","PHX @ CLE","03/11/2024","W","240","117","46","84","54.8","12","32","37.5","13","19","68.4","12","30","42","23","8","6","14","18","6"
"1710880555-108","https://www.nba.com/stats/teams/boxscores","","CLE","CLE vs. PHX","03/11/2024","L","240","111","40","84","47.6","15","46","32.6","16","19","84.2","10","27","37","30","9","0","13","18","-6"
"1710880555-109","https://www.nba.com/stats/teams/boxscores","","DAL","DAL @ CHI","03/11/2024","W","240","127","51","93","54.8","13","41","31.7","12","15","80.0","10","39","49","33","10","6","6","17","35"
"1710880555-110","https://www.nba.com/stats/teams/boxscores","","CHI","CHI vs. DAL","03/11/2024","L","240","92","35","89","39.3","7","34","20.6","15","22","68.2","14","29","43","19","6","2","13","12","-35"
"1710880555-111","https://www.nba.com/stats/teams/boxscores","","GSW","GSW @ SAS","03/11/2024","W","240","112","46","93","49.5","12","27","44.4","8","12","66.7","10","35","45","28","7","4","14","19","10"
"1710880555-112","https://www.nba.com/stats/teams/boxscores","","SAS","SAS vs. GSW","03/11/2024","L","240","102","39","93","41.9","14","37","37.8","10","15","66.7","13","37","50","27","6","10","15","15","-10"
"1710880555-113","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ DEN","03/11/2024","L","240","119","47","93","50.5","11","30","36.7","14","17","82.4","11","31","42","30","6","4","12","16","-6"
"1710880555-114","https://www.nba.com/stats/teams/boxscores","","DEN","DEN vs. TOR","03/11/2024","W","240","125","52","95","54.7","10","29","34.5","11","18","61.1","11","31","42","36","8","8","9","14","6"
"1710880555-115","https://www.nba.com/stats/teams/boxscores","","BOS","BOS @ POR","03/11/2024","W","240","121","49","100","49.0","15","40","37.5","8","12","66.7","14","31","45","34","7","10","3","11","22"
"1710880555-116","https://www.nba.com/stats/teams/boxscores","","POR","POR vs. BOS","03/11/2024","L","240","99","39","87","44.8","10","28","35.7","11","11","100","9","29","38","23","3","5","11","11","-22"
"1710880555-117","https://www.nba.com/stats/teams/boxscores","","LAC","LAC vs. MIL","03/10/2024","L","240","117","47","104","45.2","14","47","29.8","9","10","90.0","17","35","52","30","3","9","10","23","-7"
"1710880555-118","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ LAC","03/10/2024","W","240","124","43","87","49.4","17","38","44.7","21","27","77.8","7","34","41","28","5","6","7","15","7"
"1710880555-119","https://www.nba.com/stats/teams/boxscores","","NOP","NOP @ ATL","03/10/2024","W","240","116","43","75","57.3","14","27","51.9","16","22","72.7","4","39","43","32","8","7","12","10","13"
"1710880555-120","https://www.nba.com/stats/teams/boxscores","","ATL","ATL vs. NOP","03/10/2024","L","240","103","38","91","41.8","17","46","37.0","10","13","76.9","12","29","41","28","6","4","11","15","-13"
"1710880555-121","https://www.nba.com/stats/teams/boxscores","","WAS","WAS @ MIA","03/10/2024","W","240","110","39","81","48.1","16","39","41.0","16","22","72.7","6","34","40","35","5","5","15","18","2"
"1710880555-122","https://www.nba.com/stats/teams/boxscores","","MIA","MIA vs. WAS","03/10/2024","L","240","108","43","95","45.3","10","33","30.3","12","18","66.7","16","35","51","20","9","6","13","18","-2"
"1710880555-123","https://www.nba.com/stats/teams/boxscores","","SAC","SAC vs. HOU","03/10/2024","L","240","104","39","86","45.3","6","32","18.8","20","23","87.0","7","37","44","24","10","5","13","20","-8"
"1710880555-124","https://www.nba.com/stats/teams/boxscores","","HOU","HOU @ SAC","03/10/2024","W","240","112","39","84","46.4","12","29","41.4","22","27","81.5","6","36","42","23","8","1","12","18","8"
"1710880555-125","https://www.nba.com/stats/teams/boxscores","","ORL","ORL vs. IND","03/10/2024","L","240","97","33","88","37.5","9","36","25.0","22","29","75.9","13","33","46","18","7","3","13","27","-14"
"1710880555-126","https://www.nba.com/stats/teams/boxscores","","IND","IND @ ORL","03/10/2024","W","240","111","38","78","48.7","8","23","34.8","27","33","81.8","5","41","46","20","5","10","13","21","14"
"1710880555-127","https://www.nba.com/stats/teams/boxscores","","BKN","BKN @ CLE","03/10/2024","W","240","120","42","79","53.2","18","35","51.4","18","20","90.0","8","32","40","33","7","3","15","17","19"
"1710880555-128","https://www.nba.com/stats/teams/boxscores","","CLE","CLE vs. BKN","03/10/2024","L","240","101","37","76","48.7","14","32","43.8","13","20","65.0","5","26","31","25","8","4","12","17","-19"
"1710880555-129","https://www.nba.com/stats/teams/boxscores","","OKC","OKC vs. MEM","03/10/2024","W","240","124","49","93","52.7","21","47","44.7","5","5","100","8","38","46","36","8","6","10","18","31"
"1710880555-130","https://www.nba.com/stats/teams/boxscores","","MEM","MEM @ OKC","03/10/2024","L","240","93","32","78","41.0","11","33","33.3","18","27","66.7","8","31","39","21","8","4","16","14","-31"
"1710880555-131","https://www.nba.com/stats/teams/boxscores","","NYK","NYK vs. PHI","03/10/2024","L","240","73","26","80","32.5","9","40","22.5","12","16","75.0","16","34","50","19","9","5","21","14","-6"
"1710880555-132","https://www.nba.com/stats/teams/boxscores","","PHI","PHI @ NYK","03/10/2024","W","240","79","31","80","38.8","9","30","30.0","8","14","57.1","14","33","47","20","9","5","15","18","6"
"1710880555-133","https://www.nba.com/stats/teams/boxscores","","LAL","LAL vs. MIN","03/10/2024","W","240","120","44","83","53.0","10","24","41.7","22","29","75.9","14","42","56","29","9","4","21","12","11"
"1710880555-134","https://www.nba.com/stats/teams/boxscores","","MIN","MIN @ LAL","03/10/2024","L","240","109","41","97","42.3","16","46","34.8","11","13","84.6","11","27","38","27","8","6","12","18","-11"
"1710880555-135","https://www.nba.com/stats/teams/boxscores","","CHI","CHI @ LAC","03/09/2024","L","240","102","37","86","43.0","13","35","37.1","15","19","78.9","12","26","38","27","7","3","12","19","-10"
"1710880555-136","https://www.nba.com/stats/teams/boxscores","","CHA","CHA vs. BKN","03/09/2024","W","240","110","44","81","54.3","11","30","36.7","11","15","73.3","9","36","45","26","9","3","17","18","11"
"1710880555-137","https://www.nba.com/stats/teams/boxscores","","BKN","BKN @ CHA","03/09/2024","L","240","99","36","90","40.0","14","42","33.3","13","17","76.5","16","25","41","22","4","2","16","14","-11"
"1710880555-138","https://www.nba.com/stats/teams/boxscores","","DAL","DAL @ DET","03/09/2024","W","240","142","51","92","55.4","14","38","36.8","26","32","81.3","4","32","36","29","13","8","14","18","18"
