web-scraper-order,web-scraper-start-url,newpage,team,matchup,date,winloss,min,pts,fgm,fga,fgpercent,3pm,3pa,3ppercent,ftm,fta,ftpercent,oreb,dreb,reb,ast,stl,blk,tov,pfidk,plusminus
"1710880555-978","https://www.nba.com/stats/teams/boxscores","","MEM","MEM @ PHX","01/07/2024","W","240","121","43","97","44.3","17","49","34.7","18","24","75.0","15","39","54","29","7","8","18","24","6"
"1710880555-979","https://www.nba.com/stats/teams/boxscores","","DAL","DAL vs. MIN","01/07/2024","W","240","115","43","95","45.3","15","40","37.5","14","20","70.0","15","29","44","20","7","8","11","19","7"
"1710880555-980","https://www.nba.com/stats/teams/boxscores","","LAC","LAC @ LAL","01/07/2024","L","240","103","36","91","39.6","14","37","37.8","17","19","89.5","13","27","40","21","12","5","16","19","-3"
"1710880555-981","https://www.nba.com/stats/teams/boxscores","","LAL","LAL vs. LAC","01/07/2024","W","240","106","42","82","51.2","11","29","37.9","11","16","68.8","8","32","40","23","9","6","19","11","3"
"1710880555-982","https://www.nba.com/stats/teams/boxscores","","GSW","GSW vs. TOR","01/07/2024","L","240","118","45","100","45.0","14","46","30.4","14","15","93.3","15","28","43","30","5","4","11","11","-15"
"1710880555-983","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ GSW","01/07/2024","W","240","133","55","94","58.5","15","33","45.5","8","14","57.1","9","36","45","38","7","6","7","14","15"
"1710880555-984","https://www.nba.com/stats/teams/boxscores","","DET","DET @ DEN","01/07/2024","L","240","114","42","89","47.2","9","24","37.5","21","30","70.0","13","24","37","28","6","0","12","20","-17"
"1710880555-985","https://www.nba.com/stats/teams/boxscores","","DEN","DEN vs. DET","01/07/2024","W","240","131","47","80","58.8","10","27","37.0","27","31","87.1","6","32","38","35","6","10","14","23","17"
"1710880555-986","https://www.nba.com/stats/teams/boxscores","","MIN","MIN @ DAL","01/07/2024","L","240","108","41","94","43.6","13","41","31.7","13","21","61.9","18","33","51","22","6","4","13","22","-7"
"1710880555-987","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ HOU","01/06/2024","L","240","108","35","76","46.1","9","34","26.5","29","42","69.0","4","37","41","20","7","4","11","24","-4"
"1710880555-988","https://www.nba.com/stats/teams/boxscores","","HOU","HOU vs. MIL","01/06/2024","W","240","112","36","83","43.4","13","34","38.2","27","32","84.4","7","39","46","22","7","2","10","24","4"
"1710880555-989","https://www.nba.com/stats/teams/boxscores","","WAS","WAS vs. NYK","01/06/2024","L","240","105","40","85","47.1","13","37","35.1","12","20","60.0","12","33","45","33","5","3","20","20","-16"
"1710880555-990","https://www.nba.com/stats/teams/boxscores","","NYK","NYK @ WAS","01/06/2024","W","240","121","43","87","49.4","14","36","38.9","21","24","87.5","11","34","45","27","9","2","14","16","16"
"1710880555-991","https://www.nba.com/stats/teams/boxscores","","BOS","BOS @ IND","01/06/2024","W","240","118","46","90","51.1","16","41","39.0","10","19","52.6","13","43","56","26","6","6","18","20","17"
"1710880555-992","https://www.nba.com/stats/teams/boxscores","","IND","IND vs. BOS","01/06/2024","L","240","101","38","92","41.3","8","42","19.0","17","22","77.3","10","28","38","23","12","2","9","18","-17"
"1710880555-993","https://www.nba.com/stats/teams/boxscores","","PHI","PHI vs. UTA","01/06/2024","L","240","109","42","104","40.4","7","38","18.4","18","23","78.3","15","19","34","30","12","6","6","20","-11"
"1710880555-994","https://www.nba.com/stats/teams/boxscores","","UTA","UTA @ PHI","01/06/2024","W","240","120","46","80","57.5","8","30","26.7","20","24","83.3","9","39","48","30","4","4","24","18","11"
"1710880555-995","https://www.nba.com/stats/teams/boxscores","","LAC","LAC @ NOP","01/05/2024","W","240","111","40","82","48.8","15","36","41.7","16","20","80.0","10","40","50","28","6","7","15","18","16"
"1710880555-996","https://www.nba.com/stats/teams/boxscores","","NOP","NOP vs. LAC","01/05/2024","L","240","95","33","92","35.9","12","29","41.4","17","23","73.9","14","29","43","22","9","5","9","17","-16"
"1710880555-997","https://www.nba.com/stats/teams/boxscores","","CHA","CHA @ CHI","01/05/2024","L","240","91","36","89","40.4","10","34","29.4","9","12","75.0","12","30","42","20","7","1","13","20","-13"
"1710880555-998","https://www.nba.com/stats/teams/boxscores","","CHI","CHI vs. CHA","01/05/2024","W","240","104","40","74","54.1","10","28","35.7","14","17","82.4","4","37","41","29","7","6","15","17","13"
"1710880555-999","https://www.nba.com/stats/teams/boxscores","","NYK","NYK @ PHI","01/05/2024","W","240","128","43","89","48.3","18","41","43.9","24","25","96.0","10","39","49","27","7","7","13","22","36"
"1710880555-1000","https://www.nba.com/stats/teams/boxscores","","PHI","PHI vs. NYK","01/05/2024","L","240","92","33","81","40.7","6","23","26.1","20","27","74.1","8","30","38","22","8","9","14","18","-36"
"1710880555-1001","https://www.nba.com/stats/teams/boxscores","","BKN","BKN vs. OKC","01/05/2024","W","240","124","41","91","45.1","14","39","35.9","28","33","84.8","20","31","51","25","9","3","15","24","9"
"1710880555-1002","https://www.nba.com/stats/teams/boxscores","","OKC","OKC @ BKN","01/05/2024","L","240","115","45","84","53.6","9","31","29.0","16","24","66.7","7","29","36","29","8","5","13","26","-9"
"1710880555-1003","https://www.nba.com/stats/teams/boxscores","","CLE","CLE vs. WAS","01/05/2024","W","240","114","41","77","53.2","16","33","48.5","16","23","69.6","12","40","52","31","9","1","24","19","24"
"1710880555-1004","https://www.nba.com/stats/teams/boxscores","","WAS","WAS @ CLE","01/05/2024","L","240","90","35","84","41.7","9","30","30.0","11","15","73.3","7","24","31","19","12","8","17","19","-24"
"1710880555-1005","https://www.nba.com/stats/teams/boxscores","","BOS","BOS vs. UTA","01/05/2024","W","240","126","39","90","43.3","17","49","34.7","31","36","86.1","9","47","56","24","9","8","14","23","29"
"1710880555-1006","https://www.nba.com/stats/teams/boxscores","","UTA","UTA @ BOS","01/05/2024","L","240","97","34","94","36.2","6","34","17.6","23","34","67.6","16","41","57","23","11","2","18","24","-29"
"1710880555-1007","https://www.nba.com/stats/teams/boxscores","","ATL","ATL @ IND","01/05/2024","L","240","116","40","93","43.0","10","42","23.8","26","30","86.7","14","25","39","21","6","3","14","11","-34"
"1710880555-1008","https://www.nba.com/stats/teams/boxscores","","IND","IND vs. ATL","01/05/2024","W","240","150","60","94","63.8","19","39","48.7","11","13","84.6","8","31","39","50","12","3","16","24","34"
"1710880555-1009","https://www.nba.com/stats/teams/boxscores","","MIN","MIN @ HOU","01/05/2024","W","240","122","46","88","52.3","14","33","42.4","16","20","80.0","9","43","52","31","12","7","14","18","27"
"1710880555-1010","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ SAC","01/05/2024","L","240","130","47","87","54.0","13","37","35.1","23","27","85.2","8","29","37","31","5","10","14","20","-5"
"1710880555-1011","https://www.nba.com/stats/teams/boxscores","","SAC","SAC vs. TOR","01/05/2024","W","240","135","52","100","52.0","21","38","55.3","10","15","66.7","11","31","42","35","4","1","15","23","5"
"1710880555-1012","https://www.nba.com/stats/teams/boxscores","","GSW","GSW vs. DET","01/05/2024","W","240","113","38","82","46.3","16","38","42.1","21","25","84.0","7","38","45","24","3","5","19","18","4"
"1710880555-1013","https://www.nba.com/stats/teams/boxscores","","DET","DET @ GSW","01/05/2024","L","240","109","44","98","44.9","13","44","29.5","8","10","80.0","10","30","40","25","8","9","11","23","-4"
"1710880555-1014","https://www.nba.com/stats/teams/boxscores","","LAL","LAL vs. MEM","01/05/2024","L","240","113","42","85","49.4","10","28","35.7","19","27","70.4","8","27","35","26","13","3","14","14","-14"
"1710880555-1015","https://www.nba.com/stats/teams/boxscores","","MEM","MEM @ LAL","01/05/2024","W","240","127","44","82","53.7","23","45","51.1","16","20","80.0","6","38","44","33","8","4","19","20","14"
"1710880555-1016","https://www.nba.com/stats/teams/boxscores","","PHX","PHX vs. MIA","01/05/2024","W","240","113","44","87","50.6","14","35","40.0","11","17","64.7","9","35","44","30","13","5","11","18","16"
"1710880555-1017","https://www.nba.com/stats/teams/boxscores","","MIA","MIA @ PHX","01/05/2024","L","240","97","34","83","41.0","10","37","27.0","19","22","86.4","11","33","44","26","5","2","16","21","-16"
"1710880555-1018","https://www.nba.com/stats/teams/boxscores","","DEN","DEN vs. ORL","01/05/2024","L","240","120","48","95","50.5","9","33","27.3","15","19","78.9","9","29","38","28","8","1","13","23","-2"
"1710880555-1019","https://www.nba.com/stats/teams/boxscores","","ORL","ORL @ DEN","01/05/2024","W","240","122","41","82","50.0","17","36","47.2","23","34","67.6","11","29","40","25","9","3","15","20","2"
"1710880555-1020","https://www.nba.com/stats/teams/boxscores","","DAL","DAL vs. POR","01/05/2024","W","240","139","56","96","58.3","17","38","44.7","10","15","66.7","10","42","52","35","11","8","17","21","36"
"1710880555-1021","https://www.nba.com/stats/teams/boxscores","","POR","POR @ DAL","01/05/2024","L","240","103","39","95","41.1","13","40","32.5","12","17","70.6","10","32","42","27","9","3","19","15","-36"
"1710880555-1022","https://www.nba.com/stats/teams/boxscores","","HOU","HOU vs. MIN","01/05/2024","L","240","95","36","90","40.0","12","32","37.5","11","15","73.3","7","31","38","18","7","2","15","15","-27"
"1710880555-1023","https://www.nba.com/stats/teams/boxscores","","DEN","DEN @ GSW","01/04/2024","W","240","130","48","85","56.5","9","26","34.6","25","29","86.2","11","25","36","28","7","4","9","15","3"
"1710880555-1024","https://www.nba.com/stats/teams/boxscores","","GSW","GSW vs. DEN","01/04/2024","L","240","127","49","90","54.4","15","36","41.7","14","16","87.5","9","24","33","35","4","3","10","20","-3"
"1710880555-1025","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ SAS","01/04/2024","W","240","125","49","92","53.3","12","34","35.3","15","19","78.9","8","34","42","27","5","5","14","16","4"
"1710880555-1026","https://www.nba.com/stats/teams/boxscores","","SAS","SAS vs. MIL","01/04/2024","L","240","121","46","95","48.4","14","40","35.0","15","17","88.2","10","32","42","31","10","8","12","16","-4"
"1710880555-1027","https://www.nba.com/stats/teams/boxscores","","WAS","WAS @ CLE","01/03/2024","L","240","101","42","101","41.6","12","35","34.3","5","11","45.5","12","24","36","22","8","5","8","14","-39"
"1710880555-1028","https://www.nba.com/stats/teams/boxscores","","MEM","MEM vs. TOR","01/03/2024","L","240","111","40","94","42.6","15","42","35.7","16","19","84.2","9","34","43","25","7","5","10","19","-5"
"1710880555-1029","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ MEM","01/03/2024","W","240","116","41","85","48.2","12","26","46.2","22","27","81.5","7","39","46","25","5","6","12","20","5"
"1710880555-1030","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ IND","01/03/2024","L","240","130","46","92","50.0","14","37","37.8","24","32","75.0","10","32","42","30","6","4","13","25","-12"
"1710880555-1031","https://www.nba.com/stats/teams/boxscores","","IND","IND vs. MIL","01/03/2024","W","240","142","50","90","55.6","14","35","40.0","28","34","82.4","7","37","44","34","7","5","11","27","12"
"1710880555-1032","https://www.nba.com/stats/teams/boxscores","","CLE","CLE vs. WAS","01/03/2024","W","240","140","54","101","53.5","20","42","47.6","12","16","75.0","18","44","62","37","5","8","11","13","39"
"1710880555-1033","https://www.nba.com/stats/teams/boxscores","","ATL","ATL vs. OKC","01/03/2024","W","240","141","48","95","50.5","14","39","35.9","31","33","93.9","15","34","49","30","8","5","13","21","3"
"1710880555-1034","https://www.nba.com/stats/teams/boxscores","","OKC","OKC @ ATL","01/03/2024","L","240","138","50","91","54.9","18","36","50.0","20","26","76.9","9","28","37","30","10","1","13","23","-3"
"1710880555-1035","https://www.nba.com/stats/teams/boxscores","","UTA","UTA vs. DET","01/03/2024","W","265","154","53","103","51.5","16","32","50.0","32","35","91.4","15","28","43","28","11","8","12","22","6"
"1710880555-1036","https://www.nba.com/stats/teams/boxscores","","DET","DET @ UTA","01/03/2024","L","265","148","56","105","53.3","19","41","46.3","17","22","77.3","16","32","48","33","5","3","17","27","-6"
"1710880555-1037","https://www.nba.com/stats/teams/boxscores","","MIA","MIA @ LAL","01/03/2024","W","240","110","41","93","44.1","16","42","38.1","12","17","70.6","7","32","39","30","14","3","10","23","14"
"1710880555-1038","https://www.nba.com/stats/teams/boxscores","","LAL","LAL vs. MIA","01/03/2024","L","240","96","35","83","42.2","4","30","13.3","22","24","91.7","9","41","50","29","3","6","22","14","-14"
"1710880555-1039","https://www.nba.com/stats/teams/boxscores","","CHI","CHI @ NYK","01/03/2024","L","240","100","37","89","41.6","13","32","40.6","13","16","81.3","11","28","39","24","9","7","11","17","-16"
"1710880555-1040","https://www.nba.com/stats/teams/boxscores","","BKN","BKN @ HOU","01/03/2024","L","240","101","36","93","38.7","13","44","29.5","16","26","61.5","15","35","50","25","11","6","10","19","-11"
"1710880555-1041","https://www.nba.com/stats/teams/boxscores","","DAL","DAL vs. POR","01/03/2024","W","240","126","42","84","50.0","13","30","43.3","29","41","70.7","7","36","43","25","12","7","12","18","29"
"1710880555-1042","https://www.nba.com/stats/teams/boxscores","","HOU","HOU vs. BKN","01/03/2024","W","240","112","37","76","48.7","19","39","48.7","19","27","70.4","5","43","48","27","5","4","16","19","11"
"1710880555-1043","https://www.nba.com/stats/teams/boxscores","","MIN","MIN vs. NOP","01/03/2024","L","240","106","37","82","45.1","10","31","32.3","22","27","81.5","8","20","28","26","7","6","13","13","-11"
"1710880555-1044","https://www.nba.com/stats/teams/boxscores","","NOP","NOP @ MIN","01/03/2024","W","240","117","45","81","55.6","12","26","46.2","15","17","88.2","9","32","41","30","7","5","14","24","11"
"1710880555-1045","https://www.nba.com/stats/teams/boxscores","","POR","POR @ DAL","01/03/2024","L","240","97","34","87","39.1","13","40","32.5","16","22","72.7","10","36","46","23","4","3","22","34","-29"
"1710880555-1046","https://www.nba.com/stats/teams/boxscores","","SAC","SAC vs. ORL","01/03/2024","W","290","138","51","105","48.6","15","40","37.5","21","31","67.7","18","40","58","36","9","3","21","21","3"
"1710880555-1047","https://www.nba.com/stats/teams/boxscores","","ORL","ORL @ SAC","01/03/2024","L","290","135","44","90","48.9","25","44","56.8","22","27","81.5","7","32","39","33","10","7","21","30","-3"
"1710880555-1048","https://www.nba.com/stats/teams/boxscores","","LAC","LAC @ PHX","01/03/2024","W","240","131","42","76","55.3","18","34","52.9","29","32","90.6","10","26","36","25","9","5","14","18","9"
"1710880555-1049","https://www.nba.com/stats/teams/boxscores","","PHX","PHX vs. LAC","01/03/2024","L","240","122","42","79","53.2","15","35","42.9","23","26","88.5","10","22","32","23","9","2","17","23","-9"
"1710880555-1050","https://www.nba.com/stats/teams/boxscores","","NYK","NYK vs. CHI","01/03/2024","W","240","116","46","89","51.7","15","38","39.5","9","11","81.8","13","39","52","29","6","7","16","17","16"
"1710880555-1051","https://www.nba.com/stats/teams/boxscores","","MEM","MEM vs. SAS","01/02/2024","W","240","106","37","80","46.3","12","38","31.6","20","25","80.0","8","38","46","24","5","8","15","23","8"
"1710880555-1052","https://www.nba.com/stats/teams/boxscores","","SAS","SAS @ MEM","01/02/2024","L","240","98","36","85","42.4","10","31","32.3","16","23","69.6","6","34","40","21","6","8","16","24","-8"
"1710880555-1053","https://www.nba.com/stats/teams/boxscores","","NOP","NOP vs. BKN","01/02/2024","W","240","112","41","88","46.6","16","39","41.0","14","18","77.8","17","36","53","23","10","9","17","12","27"
"1710880555-1054","https://www.nba.com/stats/teams/boxscores","","BKN","BKN @ NOP","01/02/2024","L","240","85","35","98","35.7","11","43","25.6","4","8","50.0","18","25","43","26","7","4","15","13","-27"
"1710880555-1055","https://www.nba.com/stats/teams/boxscores","","CHI","CHI @ PHI","01/02/2024","L","240","97","37","96","38.5","7","37","18.9","16","23","69.6","19","32","51","17","9","7","18","21","-13"
"1710880555-1056","https://www.nba.com/stats/teams/boxscores","","SAC","SAC vs. CHA","01/02/2024","L","240","104","40","92","43.5","14","36","38.9","10","17","58.8","15","33","48","23","8","2","21","23","-7"
"1710880555-1057","https://www.nba.com/stats/teams/boxscores","","BOS","BOS @ OKC","01/02/2024","L","240","123","42","92","45.7","15","40","37.5","24","29","82.8","17","30","47","33","7","10","14","15","-4"
"1710880555-1058","https://www.nba.com/stats/teams/boxscores","","OKC","OKC vs. BOS","01/02/2024","W","240","127","48","91","52.7","18","40","45.0","13","17","76.5","10","28","38","34","7","10","12","22","4"
"1710880555-1059","https://www.nba.com/stats/teams/boxscores","","ORL","ORL @ GSW","01/02/2024","L","240","115","41","92","44.6","14","36","38.9","19","23","82.6","16","25","41","19","8","4","18","24","-6"
"1710880555-1060","https://www.nba.com/stats/teams/boxscores","","GSW","GSW vs. ORL","01/02/2024","W","240","121","42","78","53.8","13","35","37.1","24","37","64.9","9","27","36","23","9","6","12","19","6"
"1710880555-1061","https://www.nba.com/stats/teams/boxscores","","CHA","CHA @ SAC","01/02/2024","W","240","111","42","82","51.2","12","34","35.3","15","19","78.9","4","31","35","23","8","10","15","15","7"
"1710880555-1062","https://www.nba.com/stats/teams/boxscores","","PHI","PHI vs. CHI","01/02/2024","W","240","110","38","80","47.5","12","30","40.0","22","30","73.3","6","37","43","28","9","6","19","22","13"
"1710880555-1063","https://www.nba.com/stats/teams/boxscores","","MIN","MIN @ NYK","01/01/2024","L","240","106","36","76","47.4","11","28","39.3","23","29","79.3","4","30","34","19","6","4","14","22","-6"
"1710880555-1064","https://www.nba.com/stats/teams/boxscores","","NYK","NYK vs. MIN","01/01/2024","W","240","112","39","89","43.8","12","34","35.3","22","28","78.6","16","33","49","23","7","4","15","24","6"
"1710880555-1065","https://www.nba.com/stats/teams/boxscores","","DEN","DEN vs. CHA","01/01/2024","W","240","111","41","83","49.4","15","38","39.5","14","18","77.8","4","40","44","27","9","9","11","15","18"
"1710880555-1066","https://www.nba.com/stats/teams/boxscores","","CHA","CHA @ DEN","01/01/2024","L","240","93","36","86","41.9","10","26","38.5","11","16","68.8","8","37","45","24","4","5","14","15","-18"
"1710880555-1067","https://www.nba.com/stats/teams/boxscores","","MIA","MIA @ LAC","01/01/2024","L","240","104","35","83","42.2","11","34","32.4","23","29","79.3","12","23","35","24","7","3","14","17","-17"
"1710880555-1068","https://www.nba.com/stats/teams/boxscores","","LAC","LAC vs. MIA","01/01/2024","W","240","121","47","80","58.8","14","29","48.3","13","14","92.9","6","31","37","25","10","3","17","20","17"
"1710880555-1069","https://www.nba.com/stats/teams/boxscores","","POR","POR @ PHX","01/01/2024","L","240","88","33","80","41.3","8","30","26.7","14","19","73.7","6","30","36","21","6","10","19","19","-21"
"1710880555-1070","https://www.nba.com/stats/teams/boxscores","","PHX","PHX vs. POR","01/01/2024","W","240","109","38","80","47.5","11","29","37.9","22","33","66.7","9","38","47","24","10","5","16","20","21"
"1710880555-1071","https://www.nba.com/stats/teams/boxscores","","UTA","UTA vs. DAL","01/01/2024","W","240","127","49","96","51.0","12","44","27.3","17","18","94.4","7","46","53","37","9","6","13","15","37"
"1710880555-1072","https://www.nba.com/stats/teams/boxscores","","DAL","DAL @ UTA","01/01/2024","L","240","90","37","93","39.8","11","40","27.5","5","10","50.0","8","33","41","28","6","5","16","15","-37"
"1710880555-1073","https://www.nba.com/stats/teams/boxscores","","MIL","MIL vs. IND","01/01/2024","L","240","113","41","93","44.1","10","40","25.0","21","26","80.8","8","38","46","27","4","8","11","26","-9"
"1710880555-1074","https://www.nba.com/stats/teams/boxscores","","IND","IND @ MIL","01/01/2024","W","240","122","43","97","44.3","5","35","14.3","31","38","81.6","14","38","52","23","7","5","7","24","9"
"1710880555-1075","https://www.nba.com/stats/teams/boxscores","","DET","DET @ HOU","01/01/2024","L","240","113","40","83","48.2","13","29","44.8","20","27","74.1","10","27","37","27","3","4","18","21","-23"
"1710880555-1076","https://www.nba.com/stats/teams/boxscores","","HOU","HOU vs. DET","01/01/2024","W","240","136","51","91","56.0","15","35","42.9","19","24","79.2","6","33","39","34","11","1","10","19","23"
"1710880555-1077","https://www.nba.com/stats/teams/boxscores","","CLE","CLE @ TOR","01/01/2024","L","240","121","43","89","48.3","12","36","33.3","23","26","88.5","6","37","43","25","9","2","9","29","-3"
"1710880555-1078","https://www.nba.com/stats/teams/boxscores","","TOR","TOR vs. CLE","01/01/2024","W","240","124","42","87","48.3","11","30","36.7","29","40","72.5","10","37","47","25","5","4","11","22","3"
"1710880555-1079","https://www.nba.com/stats/teams/boxscores","","SAS","SAS vs. BOS","12/31/2023","L","240","101","40","94","42.6","12","45","26.7","9","12","75.0","9","30","39","28","6","1","16","17","-33"
"1710880555-1080","https://www.nba.com/stats/teams/boxscores","","BOS","BOS @ SAS","12/31/2023","W","240","134","51","95","53.7","15","42","35.7","17","22","77.3","13","44","57","29","6","7","11","12","33"
"1710880555-1081","https://www.nba.com/stats/teams/boxscores","","ATL","ATL @ WAS","12/31/2023","W","240","130","47","95","49.5","12","32","37.5","24","37","64.9","12","46","58","27","5","3","12","18","4"
"1710880555-1082","https://www.nba.com/stats/teams/boxscores","","WAS","WAS vs. ATL","12/31/2023","L","240","126","46","98","46.9","17","53","32.1","17","21","81.0","6","36","42","35","5","9","9","21","-4"
"1710880555-1083","https://www.nba.com/stats/teams/boxscores","","OKC","OKC vs. BKN","12/31/2023","W","240","124","45","83","54.2","18","33","54.5","16","20","80.0","5","41","46","31","1","6","15","24","16"
"1710880555-1084","https://www.nba.com/stats/teams/boxscores","","BKN","BKN @ OKC","12/31/2023","L","240","108","38","100","38.0","12","46","26.1","20","31","64.5","17","30","47","26","9","2","7","21","-16"
"1710880555-1085","https://www.nba.com/stats/teams/boxscores","","SAC","SAC @ MEM","12/31/2023","W","240","123","47","92","51.1","16","33","48.5","13","17","76.5","9","50","59","28","2","4","13","22","31"
"1710880555-1086","https://www.nba.com/stats/teams/boxscores","","MEM","MEM vs. SAC","12/31/2023","L","240","92","30","82","36.6","12","40","30.0","20","28","71.4","1","33","34","20","4","1","8","14","-31"
"1710880555-1087","https://www.nba.com/stats/teams/boxscores","","NOP","NOP vs. LAL","12/31/2023","W","240","129","45","87","51.7","17","34","50.0","22","27","81.5","12","35","47","33","9","6","13","22","20"
"1710880555-1088","https://www.nba.com/stats/teams/boxscores","","LAL","LAL @ NOP","12/31/2023","L","240","109","39","82","47.6","10","32","31.3","21","25","84.0","4","31","35","26","8","10","13","15","-20"
"1710880555-1089","https://www.nba.com/stats/teams/boxscores","","PHX","PHX vs. ORL","12/31/2023","W","240","112","44","88","50.0","8","27","29.6","16","19","84.2","6","29","35","21","11","4","6","17","5"
"1710880555-1090","https://www.nba.com/stats/teams/boxscores","","ORL","ORL @ PHX","12/31/2023","L","240","107","42","90","46.7","12","37","32.4","11","12","91.7","8","37","45","22","2","4","15","18","-5"
"1710880555-1091","https://www.nba.com/stats/teams/boxscores","","MIA","MIA @ UTA","12/30/2023","L","240","109","34","78","43.6","9","31","29.0","32","40","80.0","8","38","46","20","8","8","16","24","-8"
"1710880555-1092","https://www.nba.com/stats/teams/boxscores","","UTA","UTA vs. MIA","12/30/2023","W","240","117","43","93","46.2","11","41","26.8","20","28","71.4","9","34","43","29","8","6","10","25","8"
"1710880555-1093","https://www.nba.com/stats/teams/boxscores","","NYK","NYK @ IND","12/30/2023","L","240","126","45","95","47.4","17","37","45.9","19","27","70.4","15","27","42","24","12","2","14","19","-14"
"1710880555-1094","https://www.nba.com/stats/teams/boxscores","","IND","IND vs. NYK","12/30/2023","W","240","140","50","85","58.8","23","43","53.5","17","21","81.0","7","27","34","40","6","7","16","18","14"
"1710880555-1095","https://www.nba.com/stats/teams/boxscores","","CHI","CHI vs. PHI","12/30/2023","W","240","105","40","79","50.6","7","25","28.0","18","30","60.0","12","41","53","21","5","5","17","15","13"
"1710880555-1096","https://www.nba.com/stats/teams/boxscores","","PHI","PHI @ CHI","12/30/2023","L","240","92","36","92","39.1","9","38","23.7","11","15","73.3","12","24","36","24","12","5","8","22","-13"
"1710880555-1097","https://www.nba.com/stats/teams/boxscores","","LAL","LAL @ MIN","12/30/2023","L","240","106","37","88","42.0","7","24","29.2","25","32","78.1","8","31","39","23","12","4","10","15","-2"
"1710880555-1098","https://www.nba.com/stats/teams/boxscores","","MIN","MIN vs. LAL","12/30/2023","W","240","108","38","76","50.0","12","34","35.3","20","24","83.3","7","38","45","24","8","8","19","26","2"
"1710880555-1099","https://www.nba.com/stats/teams/boxscores","","DAL","DAL @ GSW","12/30/2023","W","240","132","49","88","55.7","16","40","40.0","18","22","81.8","6","37","43","25","5","2","9","14","10"
"1710880555-1100","https://www.nba.com/stats/teams/boxscores","","GSW","GSW vs. DAL","12/30/2023","L","240","122","47","103","45.6","19","48","39.6","9","13","69.2","16","31","47","32","8","3","11","21","-10"
"1710880555-1101","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ DET","12/30/2023","L","240","127","46","91","50.5","12","24","50.0","23","28","82.1","6","27","33","26","9","5","8","27","-2"
"1710880555-1102","https://www.nba.com/stats/teams/boxscores","","DET","DET vs. TOR","12/30/2023","W","240","129","41","82","50.0","12","28","42.9","35","40","87.5","6","35","41","29","4","4","12","22","2"
"1710880555-1103","https://www.nba.com/stats/teams/boxscores","","ATL","ATL vs. SAC","12/29/2023","L","240","110","37","94","39.4","15","43","34.9","21","25","84.0","18","33","51","29","9","4","15","16","-7"
"1710880555-1104","https://www.nba.com/stats/teams/boxscores","","SAC","SAC @ ATL","12/29/2023","W","240","117","46","89","51.7","17","45","37.8","8","15","53.3","5","33","38","35","9","3","12","20","7"
"1710880555-1105","https://www.nba.com/stats/teams/boxscores","","NYK","NYK @ ORL","12/29/2023","L","240","108","38","86","44.2","6","30","20.0","26","29","89.7","6","34","40","22","8","4","16","30","-9"
"1710880555-1106","https://www.nba.com/stats/teams/boxscores","","ORL","ORL vs. NYK","12/29/2023","W","240","117","40","89","44.9","7","33","21.2","30","40","75.0","14","35","49","24","10","6","15","20","9"
"1710880555-1107","https://www.nba.com/stats/teams/boxscores","","CLE","CLE vs. MIL","12/29/2023","L","240","111","49","103","47.6","6","43","14.0","7","9","77.8","7","30","37","28","11","7","8","20","-8"
"1710880555-1108","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ CLE","12/29/2023","W","240","119","41","80","51.3","12","29","41.4","25","28","89.3","7","36","43","26","5","6","17","15","8"
"1710880555-1109","https://www.nba.com/stats/teams/boxscores","","BOS","BOS vs. TOR","12/29/2023","W","240","120","43","88","48.9","17","39","43.6","17","20","85.0","13","39","52","29","3","6","16","17","2"
"1710880555-1110","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ BOS","12/29/2023","L","240","118","44","95","46.3","17","44","38.6","13","20","65.0","9","29","38","29","10","6","5","15","-2"
"1710880555-1111","https://www.nba.com/stats/teams/boxscores","","PHI","PHI @ HOU","12/29/2023","W","240","131","45","86","52.3","12","33","36.4","29","33","87.9","11","19","30","22","10","5","10","21","4"
"1710880555-1112","https://www.nba.com/stats/teams/boxscores","","HOU","HOU vs. PHI","12/29/2023","L","240","127","49","91","53.8","14","30","46.7","15","21","71.4","14","28","42","30","8","6","17","24","-4"
"1710880555-1113","https://www.nba.com/stats/teams/boxscores","","BKN","BKN @ WAS","12/29/2023","L","240","104","39","91","42.9","9","28","32.1","17","27","63.0","18","36","54","24","5","4","10","13","-6"
"1710880555-1114","https://www.nba.com/stats/teams/boxscores","","WAS","WAS vs. BKN","12/29/2023","W","240","110","46","91","50.5","15","38","39.5","3","7","42.9","8","35","43","28","5","5","7","19","6"
"1710880555-1115","https://www.nba.com/stats/teams/boxscores","","DEN","DEN vs. OKC","12/29/2023","L","240","93","36","85","42.4","10","37","27.0","11","15","73.3","5","31","36","30","6","5","17","17","-26"
"1710880555-1116","https://www.nba.com/stats/teams/boxscores","","OKC","OKC @ DEN","12/29/2023","W","240","119","46","91","50.5","12","35","34.3","15","16","93.8","10","41","51","29","10","8","12","20","26"
